AREA,LU1885,LU1945,POT_LU,Shape__Area,Shape__Length
4909938.500000000000000,Grassland,Irrigated,Grassland,7876931.246093750000000,26565.040065025055810
468128.781000000017229,Wetlands,Irrigated,Wetlands,751283.648437500000000,5329.974353685587630
1005385.625000000000000,Grassland,Irrigated,Grassland,1613472.546875000000000,13339.661272271936468
146610.671999999991385,Grassland,Irrigated,Grassland,235340.054687500000000,2558.332720737677846
44781392.000000000000000,Grassland,Irrigated,Grassland,71794153.632812500000000,99522.571521106016007
1896731.375000000000000,Wetlands,Irrigated,Wetlands,3043358.613281250000000,12826.850638563728353
281117.906000000017229,Grassland,Grassland,Grassland,451246.972656250000000,3386.849240113353062
146888.108999999996740,Grassland,Grassland,Grassland,235702.449218750000000,2047.528302368127243
140605.766000000003260,Riparian,Riparian,Riparian,225709.683593750000000,2603.830430001303739
189350.812999999994645,Grassland,Irrigated,Grassland,303934.128906250000000,2882.064843102787563
625803.375000000000000,Grassland,Irrigated,Grassland,1004580.046875000000000,6567.264346087661579
149471.391000000003260,Grassland,Grassland,Grassland,239820.855468750000000,5021.801150661782231
169380.858999999996740,Grassland,Irrigated,Grassland,271851.531250000000000,2166.611960198578799
1138021.125000000000000,Riparian,Riparian,Riparian,1826586.960937500000000,8096.353534146410311
14242924.000000000000000,Wetlands,Irrigated,Wetlands,22847309.167968750000000,32889.009727212454891
215087.953000000008615,Grassland,Grassland,Grassland,345103.835937500000000,2544.036237239226466
260060.375000000000000,Wetlands,Irrigated,Wetlands,417314.832031250000000,5278.924959959051193
108685.726999999998952,Grassland,Irrigated,Grassland,174436.042968750000000,1652.854273350351377
490339.563000000023749,Riparian,Irrigated,Riparian,787050.738281250000000,5948.869783068041215
1079280.750000000000000,Riparian,Riparian,Riparian,1732278.359375000000000,8103.330351696807156
255625.030999999988126,Wetlands,Irrigated,Wetlands,410198.136718750000000,3222.938047171476228
132873.328000000008615,Grassland,Irrigated,Grassland,213248.609375000000000,2187.000206596402222
771694.062999999965541,Grassland,Irrigated,Grassland,1238208.109375000000000,7682.641507804608409
104814.460999999995693,Riparian,Riparian,Riparian,168238.281250000000000,1938.638559631348471
393925.625000000000000,Grassland,Irrigated,Grassland,632215.109375000000000,7566.440011428811886
217344.203000000008615,Grassland,Irrigated,Grassland,348799.601562500000000,3109.231560490631637
791646.812999999965541,Grassland,Irrigated,Grassland,1270411.031250000000000,4645.014968015219893
412921.343999999982771,Wetlands,Irrigated,Wetlands,662443.996093750000000,9045.354515746623292
